Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Minnie,SCOTTISH  TERRIER,,42.37750,-71.11030,Mid-Cambridge
FIONA,Mixed Breed,,42.36110,-71.10820,Cambridgeport
Tucker,ShihTzu,,42.37480,-71.09360,Wellington-Harrington
Toby,Mixed Breed,,42.36670,-71.09520,Wellington-Harrington
Amity,Portuguese Water Dog,,42.38930,-71.12460,North Cambridge
FERGUS,Labradoddle,,42.38230,-71.13810,West Cambridge
Bernese Sanders,Bernese Mountain Dog,,42.39070,-71.13060,North Cambridge
Emmy,Duck Tolling Retriever,,42.39010,-71.15540,Cambridge Highlands
STANLEY,Hound X,,42.36650,-71.11340,Riverside
Rover,Labrador Retriever,,42.37070,-71.10740,Mid-Cambridge
Lucy,Mixed Breed,,42.39670,-71.13120,North Cambridge
Rosco,Mixed Breed,,42.35540,-71.10540,Cambridgeport
Laika,Mixed Breed,,42.38560,-71.13290,Neighborhood Nine
Maisie Bowden,Mixed Breed,,42.38700,-71.12970,Neighborhood Nine
Stella Sculley,Border Collie Mix,,42.38760,-71.11960,Neighborhood Nine
Peaches,Mixed Breed,,42.36140,-71.10870,Cambridgeport
Obi,Goldendoodle,,42.35820,-71.11320,Cambridgeport
Jasper,Golden Retriever,,42.36870,-71.08340,East Cambridge
Tess,Mixed Breed,,42.38670,-71.12920,Neighborhood Nine
Mickey,Bernedoodle,,42.38220,-71.11550,Baldwin
Vooche,Siberian Husky,,42.39080,-71.12680,North Cambridge
Ethan,Labrador Retriever,,42.37810,-71.14480,West Cambridge
Tootsie,Mixed Breed,,42.39420,-71.12900,North Cambridge
Peyton,Mixed Breed,,42.39110,-71.14810,Cambridge Highlands
Pesto,Mixed Breed,,42.36760,-71.10910,Riverside
Cella,Mixed Breed,,42.37590,-71.09070,Wellington-Harrington
Penny,beagle,,42.37090,-71.11620,Mid-Cambridge
Reno,Australian Shepherd,,42.39280,-71.13980,North Cambridge
Bunny,Toy Poodle,,42.37920,-71.13980,West Cambridge
Coriander,Cavalier King Charles Spaniel,,42.37170,-71.11490,Riverside
ROSIE,Shih Tzu,,42.37290,-71.10690,Mid-Cambridge
Axel Mowatt,Huskey,,42.36760,-71.10760,Mid-Cambridge
Belle,Mixed Breed,,42.38270,-71.12090,Neighborhood Nine
EMMA,Boxer,,42.35370,-71.10680,Cambridgeport
Huriya,Mixed Breed,,42.38290,-71.13420,West Cambridge
Scout,Beagle,,42.37330,-71.12890,West Cambridge
Jangchub,Mixed Breed,,42.36710,-71.10520,Mid-Cambridge
Nola,Mixed Breed,,42.37470,-71.10860,Mid-Cambridge
Finn,Bernese Mountain Dog,,42.37650,-71.13550,West Cambridge
Clementine,Labrador Retriever,,42.38370,-71.11680,Baldwin
LUA,Labradoddle,,42.36910,-71.08300,East Cambridge
Pepper,Mutt,,42.39040,-71.12320,Neighborhood Nine
Nola,Mixed Breed,,42.36710,-71.10480,Mid-Cambridge
Pippi,West Highland White Terrier,,42.37010,-71.10930,Mid-Cambridge
Luna,LABRADOODLE,,42.38490,-71.13690,Neighborhood Nine
Charlie Bear,Yorkie mix,,42.37390,-71.08090,East Cambridge
Lincoln,Terrier Mix,,42.37470,-71.10210,Mid-Cambridge
Rocky,Maltipoo,,42.38900,-71.12380,North Cambridge
Maximus,GSD/Husky,,42.37760,-71.12730,West Cambridge
STELLA,SCHNOODLE,,42.37930,-71.13850,West Cambridge
Madeleine de Puddles,POODLE MIX,,42.39830,-71.13770,North Cambridge
Waffles,Labradoodle,,42.37770,-71.12040,Neighborhood Nine
Noodle,Mixed Breed,,42.38460,-71.12700,Neighborhood Nine
MUFFIN,Yorkie  Poo,,42.37360,-71.13290,West Cambridge
Leo,Sato,,42.39660,-71.12890,North Cambridge
Chego,Shiba Inu,,42.40030,-71.13710,North Cambridge
Ana,Mixed Breed,,42.36510,-71.10490,Cambridgeport
Penny,Mixed Breed,,42.38610,-71.12030,Neighborhood Nine
Penny,Mixed Breed,,42.38490,-71.11950,Neighborhood Nine
Kiva,Cockapoo,,42.35460,-71.10460,Cambridgeport
Willow,Goldendoodle,,42.35990,-71.11040,Cambridgeport
Ziggy,Mixed Breed,,42.37040,-71.13960,West Cambridge
Mars,ALASKAN MALAMUTE,,42.37740,-71.13770,West Cambridge
Winnie,Cairn Terrier,,42.38030,-71.13760,West Cambridge
Chloe,Mixed Breed,,42.36460,-71.07690,East Cambridge
Mika,Mixed Breed,,42.37600,-71.12450,Neighborhood Nine
Hopper,Cavapoo,,42.36730,-71.08610,East Cambridge
Max,Poodle,,42.38310,-71.11910,Baldwin
Bella,Mixed Breed,,42.36800,-71.08410,East Cambridge
Sam,Poodle,,42.38630,-71.12120,Neighborhood Nine
Sadie,Mixed Breed,,42.38070,-71.11090,Baldwin
Whizzby,Whippet,,42.37970,-71.14190,West Cambridge
Humphrey,Pug,,42.38610,-71.13810,Neighborhood Nine
Remy,Mixed Breed,,42.35700,-71.10720,Cambridgeport
Teddy ,Labradoodle,,42.37560,-71.10840,Mid-Cambridge
Bobbie,Dachshund (Standard),,42.36850,-71.07960,East Cambridge
STITCH,English Bulldog,,42.38500,-71.11860,Neighborhood Nine
Gus,Goldendoodle,,42.38150,-71.14270,West Cambridge
Roscoe ,Mixed Breed,,42.39640,-71.13420,North Cambridge
Birdie,Lab,,42.36960,-71.09690,The Port
Pia,Morkie,,42.37450,-71.10680,Mid-Cambridge
Panda,Mixed Breed,,42.37650,-71.12470,Neighborhood Nine
Toby,Labradoodle,,42.38570,-71.12520,Neighborhood Nine
Dou Bao,Havanese,,42.37530,-71.10540,Mid-Cambridge
Moxie,Dachshund,,42.37460,-71.08290,East Cambridge
Riley,Golden Retriever,,42.38350,-71.13670,West Cambridge
Pocky,Mixed Breed,,42.36810,-71.09710,The Port
